traces,algorithm,cache_size,hit_rate,dataset,rank
moodle-2012-11-26-1,dlirs,0.0005,15.57,CloudCache,1.0
moodle-2012-11-26-1,arc,0.0005,15.48,CloudCache,1.0
moodle-2012-11-26-1,scanalecar,0.0005,15.46,CloudCache,1.0
moodle-2012-11-26-1,lirs,0.0005,15.25,CloudCache,1.0
moodle-2012-11-26-1,lecar,0.0005,14.59,CloudCache,5.0
moodle-2012-11-26-1,lru,0.0005,14.19,CloudCache,6.0
moodle-2012-11-26-1,lfu,0.0005,11.51,CloudCache,7.0
webserver-2012-11-01-1,lirs,0.0005,21.96,CloudCache,1.0
webserver-2012-11-01-1,arc,0.0005,21.8,CloudCache,1.0
webserver-2012-11-01-1,scanalecar,0.0005,21.74,CloudCache,1.0
webserver-2012-11-01-1,lecar,0.0005,20.79,CloudCache,4.0
webserver-2012-11-01-1,dlirs,0.0005,17.41,CloudCache,5.0
webserver-2012-11-01-1,lru,0.0005,5.34,CloudCache,6.0
webserver-2012-11-01-1,lfu,0.0005,0.06,CloudCache,7.0
webserver-2012-11-08-1,lirs,0.0005,22.24,CloudCache,1.0
webserver-2012-11-08-1,arc,0.0005,21.97,CloudCache,1.0
webserver-2012-11-08-1,scanalecar,0.0005,21.52,CloudCache,1.0
webserver-2012-11-08-1,lecar,0.0005,20.59,CloudCache,4.0
webserver-2012-11-08-1,dlirs,0.0005,18.67,CloudCache,5.0
webserver-2012-11-08-1,lru,0.0005,6.21,CloudCache,6.0
webserver-2012-11-08-1,lfu,0.0005,0.04,CloudCache,7.0
webserver-2012-11-15-1,lirs,0.0005,20.11,CloudCache,1.0
webserver-2012-11-15-1,arc,0.0005,19.94,CloudCache,1.0
webserver-2012-11-15-1,scanalecar,0.0005,19.74,CloudCache,1.0
webserver-2012-11-15-1,lecar,0.0005,19.55,CloudCache,1.0
webserver-2012-11-15-1,dlirs,0.0005,17.59,CloudCache,5.0
webserver-2012-11-15-1,lfu,0.0005,15.96,CloudCache,6.0
webserver-2012-11-15-1,lru,0.0005,8.17,CloudCache,7.0
webserver-2012-11-22-1,arc,0.0005,5.94,CloudCache,1.0
webserver-2012-11-22-1,dlirs,0.0005,5.93,CloudCache,1.0
webserver-2012-11-22-1,scanalecar,0.0005,5.92,CloudCache,1.0
webserver-2012-11-22-1,lirs,0.0005,5.77,CloudCache,1.0
webserver-2012-11-22-1,lecar,0.0005,5.48,CloudCache,5.0
webserver-2012-11-22-1,lru,0.0005,5.29,CloudCache,6.0
webserver-2012-11-22-1,lfu,0.0005,0.75,CloudCache,7.0
webserver-2012-11-29-1,scanalecar,0.0005,21.45,CloudCache,1.0
webserver-2012-11-29-1,lirs,0.0005,21.26,CloudCache,1.0
webserver-2012-11-29-1,arc,0.0005,21.0,CloudCache,1.0
webserver-2012-11-29-1,lecar,0.0005,20.79,CloudCache,1.0
webserver-2012-11-29-1,dlirs,0.0005,18.71,CloudCache,5.0
webserver-2012-11-29-1,lru,0.0005,7.24,CloudCache,6.0
webserver-2012-11-29-1,lfu,0.0005,0.91,CloudCache,7.0
moodle-2012-11-26-1,dlirs,0.001,16.66,CloudCache,1.0
moodle-2012-11-26-1,arc,0.001,16.58,CloudCache,1.0
moodle-2012-11-26-1,scanalecar,0.001,16.54,CloudCache,1.0
moodle-2012-11-26-1,lirs,0.001,16.51,CloudCache,1.0
moodle-2012-11-26-1,lecar,0.001,15.2,CloudCache,5.0
moodle-2012-11-26-1,lru,0.001,14.96,CloudCache,6.0
moodle-2012-11-26-1,lfu,0.001,12.51,CloudCache,7.0
webserver-2012-11-01-1,scanalecar,0.001,30.0,CloudCache,1.0
webserver-2012-11-01-1,arc,0.001,29.74,CloudCache,1.0
webserver-2012-11-01-1,lirs,0.001,29.55,CloudCache,1.0
webserver-2012-11-01-1,lecar,0.001,28.89,CloudCache,1.0
webserver-2012-11-01-1,dlirs,0.001,28.69,CloudCache,1.0
webserver-2012-11-01-1,lru,0.001,11.18,CloudCache,6.0
webserver-2012-11-01-1,lfu,0.001,0.09,CloudCache,7.0
webserver-2012-11-08-1,arc,0.001,28.68,CloudCache,1.0
webserver-2012-11-08-1,scanalecar,0.001,28.56,CloudCache,1.0
webserver-2012-11-08-1,lirs,0.001,28.42,CloudCache,1.0
webserver-2012-11-08-1,dlirs,0.001,28.0,CloudCache,1.0
webserver-2012-11-08-1,lecar,0.001,27.56,CloudCache,1.0
webserver-2012-11-08-1,lru,0.001,12.7,CloudCache,6.0
webserver-2012-11-08-1,lfu,0.001,0.05,CloudCache,7.0
webserver-2012-11-15-1,scanalecar,0.001,26.9,CloudCache,1.0
webserver-2012-11-15-1,arc,0.001,26.59,CloudCache,1.0
webserver-2012-11-15-1,lirs,0.001,26.17,CloudCache,1.0
webserver-2012-11-15-1,lecar,0.001,26.07,CloudCache,1.0
webserver-2012-11-15-1,dlirs,0.001,25.96,CloudCache,1.0
webserver-2012-11-15-1,lfu,0.001,16.67,CloudCache,6.0
webserver-2012-11-15-1,lru,0.001,13.82,CloudCache,7.0
webserver-2012-11-22-1,lecar,0.001,6.11,CloudCache,1.0
webserver-2012-11-22-1,dlirs,0.001,6.05,CloudCache,1.0
webserver-2012-11-22-1,arc,0.001,6.05,CloudCache,1.0
webserver-2012-11-22-1,scanalecar,0.001,5.96,CloudCache,1.0
webserver-2012-11-22-1,lirs,0.001,5.91,CloudCache,1.0
webserver-2012-11-22-1,lru,0.001,5.6,CloudCache,5.0
webserver-2012-11-22-1,lfu,0.001,0.8,CloudCache,6.0
webserver-2012-11-29-1,scanalecar,0.001,28.7,CloudCache,1.0
webserver-2012-11-29-1,arc,0.001,28.18,CloudCache,1.0
webserver-2012-11-29-1,lirs,0.001,27.78,CloudCache,1.0
webserver-2012-11-29-1,dlirs,0.001,27.72,CloudCache,1.0
